Taisho,K_Number,Chinese_Title,Sanskrit_Title,Tibetan_Title,Tohoku_Numbers,Otani_Numbers,Nanjio,Mvy
230,1455,聖八千頌般若波羅蜜多一百八名眞實圓義陀羅尼經,Prajñapāramitānāmāṣṭaśataka.,Śes-rab-kyi-pha-rol-tu-phyin-paḥi mtshan brgya-rtsa-brgyad-pa.,25;553,172,999,
231,8,勝天王般若波羅蜜經,Suvikrāntavikrāmiparipṛcchāprajñāpāramitāsūtra,Rab-kyi-rtsal-gyis rnam-par-gnon-pas shus-pa śes-rab-kyi-pha-rol-tu phyin-pa bstan-pa,14,736,9,1347
232,10,文殊師所說摩訶般若波羅蜜經,Saptaśatikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,24,737;760,21,1391
233,11,文殊師所說般若波羅蜜經,Saptaśatikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,24,737,22,1391
234,12,濡首菩薩無上淸淨分衞經,Nāgaśrīpāripṛcchāsūtra,,,,16,
235,13,金剛般若波羅蜜經,Vajracchedikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,16,739,10,
236,14,金剛般若波羅蜜經,Vajracchedikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,16,739,11,
237,15,金剛般若波羅蜜經,Vajracchedikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,16,739,12,
239,17,能斷金剛般若波羅蜜多經,Vajracchedikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,16,739,14,
240,18,實相般若波羅蜜多經,Adhyardhaśatikāprajñāpāramitāsūtra,Śes-rab-kyi-pha-rol-tu-phyin-paḥi tshul brgya-lṅga-bcu-pa,17;487;489,119;121,18,
242,1189,徧照般若波羅蜜經,Adhyardhaśatikāprajñāpāramitāsūtra.,Śes-rab-kyi-pha-rol-tu phyin-paḥi tshul brgya-lṅa-bcu-po.,17;487;489,119;121,862,
243,1275,大樂金剛不空眞實三摩耶經,(Adhy)ardhaśatikāprajñāpāramitāsūtra.,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-pa lṅa-bcu-pa.,17;487;489,119;121,1034,
244,1256,最上根本大樂金剛不空三昧大教王經,Śriparamādhyamantrākalpakhaṇḍa(sūtra).,Dpal mchog daṅ-poḥi sṅags-kyi rtog-paḥi dum-bu.,17;487;488;489,119;120;121,1037,
248,1192,五十頌聖般若波羅蜜經,Bhagavatīprajñāpāramitāpañcaśatikasūtra.,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-pa lṅa-bcu-pa.,18,740,879,
249,1190,帝釋般若波羅蜜多心經,Kauśikaprajñāpāramitāsūtra.,Śes-rab-kyi-pha-rol-tu-phyn-pa kaśnika.,19;554,173,865,
250,21,摩訶般若波羅蜜大明呪經,Prajñāpāramitāhṛdayasūtra,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po,21;531,16,19,
251,20,般若波羅蜜多心經,Prajñāpāramitāhṛdayasūtra,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po,21;531,160,20,
252,1267,普遍智藏般若波羅蜜多心經,Prajñāpārāmitāhṛdayasūtra.,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po.,21;531,160,,
253,1383,般若波羅蜜多心經,Prajñāpāramitāḥṛdaya.,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po.,21;531,160,,
257,1427,聖佛母般若波羅蜜多經,Bhagavatīprajñāpāramitāhṛdaya(sūtra).,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po.,21;531,160,935,
